latitude,id,longitude
-33.083336,30,150.25
-33.083336,30,151.25
-33.083336,30,151.41667
-33.083336,31,144.58333
-33.083336,31,147.08333
-33.083336,31,148.08333
-33.083336,31,148.25
-33.083336,31,148.41667
-33.083336,31,148.75
-33.083336,31,148.91667
-33.083336,31,149.08333
-33.083336,31,149.25
-33.083336,31,149.41667
-33.083336,31,149.58333
-33.083336,31,149.75
-33.083336,31,149.91667
-33.083336,31,150.08333
-33.083336,31,150.25
-33.083336,31,150.75
-33.083336,31,151.08333
-33.083336,31,151.25
-33.083336,31,151.41667
-33.083336,32,144.08333
-33.083336,32,146.41667
-33.083336,32,146.58333
-33.083336,32,148.25
-33.083336,32,151.41667
-33.083336,34,144.91667
-33.083336,34,145.25
-33.083336,34,146.41667
-33.083336,34,146.58333
-33.083336,34,146.75
-33.083336,34,147.08333
-33.083336,34,147.75
-33.083336,34,148.08333
-33.083336,34,148.25
-33.083336,34,148.41667
-33.083336,34,148.75
-33.083336,34,148.91667
-33.083336,34,149.08333
-33.083336,34,149.25
-33.083336,34,149.41667
-33.083336,34,149.58333
-33.083336,34,149.75
-33.083336,34,149.91667
-33.083336,34,150.08333
-33.083336,34,150.21666
-33.083336,34,150.25
-33.083336,34,150.75
-33.083336,34,151.08333
-33.083336,34,151.25
-33.083336,34,151.41667
-33.083336,34,151.48332
-33.083336,34,151.5
-33.083336,35,146.41667
-33.083336,35,146.75
-33.083336,35,147.08333
-33.083336,35,148.08333
-33.083336,35,148.25
-33.083336,35,148.41667
-33.083336,35,148.75
-33.083336,35,148.91667
-33.083336,35,149.08333
-33.083336,35,149.41667
-33.083336,35,149.58333
-33.083336,35,149.75
-33.083336,35,149.91667
-33.083336,35,150.08333
-33.083336,35,150.25
-33.083336,35,150.75
-33.083336,35,151.08333
-33.083336,35,151.25
-33.083336,35,151.41667
-33.083336,35,151.48332
-33.083336,35,151.5
-33.083336,36,141.58333
-33.083336,36,144.91667
-33.083336,36,145.08333
-33.083336,36,145.25
-33.083336,36,146.75
-33.083336,36,147.08333
-33.083336,36,147.75
-33.083336,36,148.08333
-33.083336,36,148.41667
-33.083336,37,145.25
-33.083336,37,146.41667
-33.083336,37,146.58333
-33.083336,37,146.75
-33.083336,37,147.08333
-33.083336,37,147.75
-33.083336,37,147.91667
-33.083336,37,148.08333
-33.083336,37,148.25
-33.083336,37,148.41667
-33.083336,37,148.75
-33.083336,37,148.91667
-33.083336,37,149.08333
-33.083336,37,149.41667
-33.083336,37,149.58333
-33.083336,37,149.75
-33.083336,37,149.91667
-33.083336,37,150.08333
-33.083336,37,150.25
-33.083336,37,151.08333
-33.083336,37,151.25
-33.083336,37,151.41667
-33.083336,37,151.48332
-33.083336,37,151.5
-33.083336,38,148.75
-33.083336,38,148.91667
-33.083336,38,149.08333
-33.083336,38,149.58333
-33.083336,38,149.75
-33.083336,38,149.91667
-33.083336,38,150.08333
-33.083336,38,150.25
-33.083336,38,151.25
-33.083336,38,151.41667
